OBJECTID;ADRESA;OTEVRENO;CENA;x_coord;y_coord;x;y
125; ;"po-pá 6-21 h; so-ne 8-20 h";jednotná cena 5 Kč;14;50;1041616.1875000;737429.3750000
126; ;nonstop;jednotná cena 5 Kč;15;50;1042241.1875000;736813.3125000
127;Praha 9. Sokolovská 324/14;po.st 8:00-18:00.út.čt 8:00-15:30.pá 8:00-12:30;zdarma;15;50;1041256.2500000;736870.5000000
128;P 9. Vysočanská 945;po-so 7:00-22:00. ne 8:00-22:00;zdarma;15;50;1041329.0625000;736785.8750000
129;Praha 9. Vysočanská 945;po-so 7:00-22:00. ne 8:00-22:00;zdarma;15;50;1041256.5625000;736771.6875000
130;Praha 9. U vinných sklepů;"po-pá 4:10-00:35; so 4:30-00:35; ne 4:55-00:35";jednotná cena 8 Kč;14;50;1041032.0000000;737031.9375000
131;Praha 9. Českomoravská 316;denně 3:30-00:35;zdarma;15;50;1042249.9375000;736886.1250000
132; ;"po-pá 7-20 h; so-ne 8-19 h";jednotná cena 5 Kč;15;50;1041401.0625000;735808.1250000
133; ;"po-pá 7-20 h; so-ne 8-19 h";jednotná cena 5 Kč;15;50;1041275.8750000;736737.8125000
134;Praha 9. Vysočanská 20/382;po-ne 7:00-01:00;jednotná cena 10 Kč (možnost odečíst formou konzumace);14;50;1040226.1250000;736760.3750000
135; ;"po-pá 6:00-21:00; so-ne 6:00-20:00";jednotná cena 5 Kč;14;50;1040268.5000000;736843.7500000
136;Kostelecká 823. Praha 9;po-ne 7:00 - 22:00;zdarma;15;50;1036843.8125000;735862.3125000
137;Praha 9. Čakovice;"po-pá 6:20-18:15; so 6:20-15:30; ne 7:35-18:00";jednotná cena 8 Kč;15;50;1037173.4375000;734913.0625000
138; ;"po-pá 7-20 h; so-ne 8-19 h";5/10 Kč;15;50;1042020.5000000;734307.7500000
